"","Rk","Player","Pos","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","1","Precious Achiuwa","PF",24,74,18,21.9,3.2,6.3,0.501,0.4,1.3,0.268,2.8,5,0.562,0.529,0.9,1.5,0.616,2.6,4,6.6,1.3,0.6,0.9,1.1,1.9,7.6,"14.6",".545",".207",".239","13.0","20.5","16.7","8.4","1.4","3.9","13.8","15.9","1.2","2.2","3.4",".102","-1.7","0.3","-1.4","0.2"
"2","2","Bam Adebayo","C",26,71,71,34,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,"19.8",".576",".041",".381","7.4","27.3","17.3","18.9","1.7","2.7","12.0","24.9","2.9","4.3","7.2",".144","0.8","1.7","2.4","2.7"
"3","3","Ochai Agbaji","SG",23,78,28,21,2.3,5.6,0.411,0.8,2.7,0.294,1.5,2.8,0.523,0.483,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8,"7.7",".497",".487",".129","4.9","9.6","7.2","6.6","1.4","2.4","12.3","13.4","-0.5","0.6","0.1",".002","-3.5","-0.9","-4.4","-1.0"
"4","4","Santi Aldama","PF",23,61,35,26.5,4,9.3,0.435,1.7,5,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,"13.1",".539",".535",".153","4.7","19.7","11.9","13.3","1.3","3.1","10.2","17.9","0.4","2.0","2.4",".070","-0.7","0.4","-0.2","0.7"
"5","5","Nickeil Alexander-Walker","SG",25,82,20,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2,2.5,0.8,0.5,0.9,1.7,8,"10.9",".578",".623",".121","2.2","7.5","4.9","14.5","1.6","1.9","11.8","14.8","1.5","2.8","4.3",".107","-1.1","1.3","0.2","1.1"
"6","6","Grayson Allen","SG",28,75,74,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1,13.5,"13.8",".679",".652",".216","2.3","10.6","6.6","12.1","1.3","1.6","11.3","14.5","4.7","2.2","6.9",".132","1.1","0.1","1.3","2.0"
"7","7","Jarrett Allen","C",25,77,77,31.7,6.7,10.6,0.634,0,0.1,0,6.7,10.6,0.638,0.634,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,"21.8",".664",".007",".383","11.3","25.8","18.7","13.2","1.1","3.0","11.2","19.4","6.8","3.9","10.7",".210","2.1","0.9","3.0","3.1"
"8","8","Timmy Allen","SF",24,5,0,25,1.2,4.6,0.261,0,1.4,0,1.2,3.2,0.375,0.261,0.2,0.4,0.5,0.8,2.6,3.4,1,0.8,0,0.4,3.6,2.6,"0.8",".272",".304",".087","3.4","11.8","7.4","5.4","1.6","0.0","7.7","8.9","-0.2","0.1","-0.1","-0.041","-10.3","-0.7","-11.1","-0.3"
"9","9","Jose Alvarado","PG",25,56,0,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,"12.5",".540",".600",".151","2.7","11.0","6.9","15.3","2.8","1.4","9.8","17.3","0.6","1.5","2.1",".097","-1.5","1.5","-0.1","0.5"
"10","10","Kyle Anderson","PF",30,79,10,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,"12.7",".513",".111",".316","4.0","13.0","8.7","25.0","2.0","2.3","15.6","14.5","1.4","3.1","4.5",".121","-1.6","2.7","1.1","1.4"
